Lesson ID,Question,Option 1,Is Correct 1,Option 2,Is Correct 2,Option 3,Is Correct 3,Option 4,Is Correct 4
1,Đâu là thủ đô của Việt Nam?,Hà Nội,TRUE,Hồ Chí Minh,FALSE,Đà Nẵng,FALSE,Huế,FALSE
1,Việt Nam có bao nhiêu tỉnh thành?,63,TRUE,64,FALSE,62,FALSE,65,FALSE
1,Thành phố nào được mệnh danh là "Thành phố Hoa phượng đỏ"?,Hải Phòng,TRUE,Hà Nội,FALSE,Đà Nẵng,FALSE,Nha Trang,FALSE
1,Ngọn núi nào cao nhất Việt Nam?,Fansipan,TRUE,Bà Đen,FALSE,Bạch Mã,FALSE,Tam Đảo,FALSE
1,Đâu là sông dài nhất Việt Nam?,Sông Đồng Nai,TRUE,Sông Hồng,FALSE,Sông Mê Kông,FALSE,Sông Cửu Long,FALSE
1,Việt Nam gia nhập ASEAN vào năm nào?,1995,TRUE,1990,FALSE,2000,FALSE,1985,FALSE
1,Thành phố nào là trung tâm kinh tế lớn nhất miền Nam Việt Nam?,Hồ Chí Minh,TRUE,Cần Thơ,FALSE,Đà Lạt,FALSE,Vũng Tàu,FALSE
1,Đâu là di sản văn hóa thế giới đầu tiên của Việt Nam được UNESCO công nhận?,Cố đô Huế,TRUE,Phố cổ Hội An,FALSE,Vịnh Hạ Long,FALSE,Thánh địa Mỹ Sơn,FALSE
1,Việt Nam có chung biên giới với bao nhiêu quốc gia?,3,TRUE,4,FALSE,2,FALSE,5,FALSE
1,Đâu là món ăn truyền thống nổi tiếng nhất của Việt Nam?,Phở,TRUE,Bánh mì,FALSE,Bún chả,FALSE,Nem rán,FALSE

